title,link
비트코인·금 결합상품도 나온다…美 '가상자산 패권' 굳히기,http://v.daum.net/v/20250601174806386
"비트코인 10만4천달러 유지…도지코인 14% 급락, 솔라나는 11% 밀려",http://v.daum.net/v/20250601091649820
“늦은 줄 알았는데 지금이라도 살까”...심상치 않은 미국의 가상자산 패권화,http://v.daum.net/v/20250601183300463
"[가상자산 나침반]가상자산 약세에도 ETF 유입 지속…""기업들 코인 매수 변수""",http://v.daum.net/v/20250601192229561
밴스 부통령도 '코인 지지'…새로운 모멘텀 되나,http://v.daum.net/v/20250601173303039
"美中 통상합의 교착에…비트코인, 10만5천 달러 밑으로",http://v.daum.net/v/20250601092519951
몸집 커진 스테이블코인 … B2B 거래 업고 튀어,http://v.daum.net/v/20250601172406751
'비트코인 ETF 허용' 공약 내건 대선 후보들…방법은 '글쎄',http://v.daum.net/v/20250601050044033
"""떨어지면 더 산다""…'비트코인' 모으는 기업들",http://v.daum.net/v/20250531130011544
'디지털 달러' 시대 급진전…원화 리디노미네이션 논의는 [한상춘의 국제경제 읽기],http://v.daum.net/v/20250601174501310
비트코인 길어지는 조정…11일만에 10만5천달러선 아래로,http://v.daum.net/v/20250531092104096
비트코인 가격에는 한계가 없다,http://v.daum.net/v/20250531090107860
"업비트·빗썸 비트코인 판매 계획 한눈에…닥사, 공시기능 확대",http://v.daum.net/v/20250601091018693
은행은 어떡하라고…연 5% 이자 주는 스테이블코인까지 [투자360],http://v.daum.net/v/20250601095237395
사업 망하고 비트코인 사모은다 말했더니…1년 만에 주가 7800% 올랐다,http://v.daum.net/v/20250531055117031
"""비트코인 가진 사람과 외면한 사람, 富격차 엄청나게 벌어질것""",http://v.daum.net/v/20250530175419316
"비트코인 10만5천달러 밑으로…""투자자들 위험회피""",http://v.daum.net/v/20250531093223234
하락세 탄 비트코인,http://v.daum.net/v/20250530103107086
"트럼프, 러트닉, 윗코프…코인에 뛰어든 美 정치 금수저 [트럼피디아]〈26〉",http://v.daum.net/v/20250601080027832
"스테이블 코인 테더 ""비트코인 채굴할 것 인프라 20억불 투자""",http://v.daum.net/v/20250530175417315
‘1000만 투자자 표심 잡아라’ 가상자산 공약 경쟁 후끈,http://v.daum.net/v/20250601090115515
‘화폐의 왕’ 달러 지위가 흔들린다?...영향력 키우는 위안화 [뉴스 쉽게보기],http://v.daum.net/v/20250601130300309
거래용 통화에서 ‘글로벌 머니’로 [홍익희의 비트코인 이야기],http://v.daum.net/v/20250531210306863
"비트코인, 약세장 진입했나...길어지는 조정",http://v.daum.net/v/20250531073835034
[비트코인 2025]대세 떠오른 비트코인 비축기업들,http://v.daum.net/v/20250530150900894
"비트코인 숨 고를 때 날아오른 알트코인…""수요는 여전히 견고""",http://v.daum.net/v/20250531080007253
"[주간코인시황] 신고점 경신 이후 숨 고르기… 비트코인, 10만5000달러대",http://v.daum.net/v/20250531060032140
"숨 고르는 비트코인, 호재는 여전",http://v.daum.net/v/20250531011407996
떨어지는 비트코인,http://v.daum.net/v/20250530103117094
[비트코인 2025]세계최대 스테이블코인 테더 CEO “비트코인까지 쓸어담을 것”,http://v.daum.net/v/20250530151200002
