단어	빈도
경주	1933
여행	1568
코스	368
추천	262
박일	185
숙소	98
일정	92
친구	90
계획	88
질문	76
부탁	75
황리	75
첨성대	72
맛집	63
가족	62
불국사	59
답변	58
안녕	54
이번	48
여행지	47
여자	46
대릉원	44
아래	43
예정	41
버스	40
동궁	40
펜션	39
숙박	38
이동	38
시간	38
아이	37
도움	36
도착	36
역사	35
생각	35
보문	34
관련	34
참고	33
석굴암	33
월지	33
출발	32
택시	31
정도	31
이용	30
터미널	30
월일	30
야경	29
월드	28
근처	28
내공	27
가요	26
마을	26
추억	26
시내	26
관광지	25
안압지	25
박물관	24
정보	24
다음	24
장소	24
당일	24
구경	24
당일치기	23
방문	23
처음	22
서울	21
준비	21
카페	21
혼자	21
자전거	20
사람	20
빌라	19
남자	19
호텔	18
동선	18
저녁	18
교촌	18
문화	18
정교	18
하루	17
추석	17
가능	17
위치	17
대중교통	17
부산	16
첫날	16
투어	16
포항	16
사이트	16
아빠	16
유적지	16
감사	15
갈만	15
동안	15
주말	15
볼거리	15
감포	14
후기	14
엄마	14
거리	14
주변	14
시외버스	14
렌트	14
형편	14
달동네	14
수학여행	14
부모	13
사진	13
관광	13
천마총	13
블로그	13
게스트	13
하우스	13
단지	13
기차	13
오푸스	13
국립	13
토요일	12
소개	12
주역	12
고민	12
날씨	12
문화재	12
운전	12
벚꽃	12
교통편	12
방법	12
보문관광단지	11
자차	11
전문	11
시설	11
파크	11
오후	11
지도	11
쭈니	10
압지	10
데이트	10
식당	10
루트	10
환영	10
신라	10
선택	10
학년	10
남산	10
얼마	10
여행가	10
아침	10
절리	10
주상	10
예약	10
플레이스	10
바다	10
한국	9
경기도	9
지역	9
민박	9
축제	9
필요	9
월초	9
추가	9
경주역	9
아버지	9
대여	9
반려	9
겁니다	9
초등	8
관람	8
오전	8
위주	8
중순	8
카테고리	8
명소	8
시작	8
일요일	8
커플	8
공원	8
홈페이지	8
등등	8
때문	8
포함	8
블로거	8
일차	8
도시	8
시장	8
신경	8
어머니	8
건데	8
