국적,목적,2019년01월,2019년02월,2019년03월,2019년04월,2019년05월,2019년06월,2019년07월,2019년08월,2019년09월,2019년10월,2019년11월,2019년12월,2020년01월,2020년02월,2020년03월,2020년04월,2020년05월,2020년06월,2020년07월,2020년08월,2020년09월,2020년10월,2020년11월,2020년12월,2021년01월,2021년02월,2021년03월,2021년04월,2021년05월,2021년06월,2021년07월,2021년08월,2021년09월,2021년10월,2021년11월,2021년12월,2022년01월,2022년02월,2022년03월,2022년04월,2022년05월,2022년06월,2022년07월,2022년08월,2022년09월,2022년10월,2022년11월,2022년12월,2023년01월,2023년02월,2023년03월,2023년04월,2023년05월,2023년06월,2023년07월,2023년08월,2023년09월,2023년10월,2023년11월,2023년12월,2024년01월,2024년02월,2024년03월,2024년04월,2024년05월,2024년06월,2024년07월,2024년08월,2024년09월,2024년10월,2024년11월,2024년12월,2025년01월,2025년02월,2025년03월,2025년04월,2025년05월
일  본,관광,198805,204697,367157,283101,279174,275286,267816,318985,242475,241484,251663,248793,194840,205007,6478,58,45,73,44,25,29,37,32,33,16,31,31,40,36,44,54,97,72,176,273,177,103,91,112,535,668,2042,7737,20324,23413,63905,59089,81012,61766,89217,187833,124741,178728,192316,206914,256082,245965,250235,272686,191892,137713,177633,334131,225182,272974,253497,237907,315309,304277,317845,334850,245072,168284,216891,377064,252679,284722
일  본,상용,2233,2125,2108,1584,2019,1901,1855,2195,2362,1897,1876,1738,2804,1162,282,53,105,69,107,124,104,143,244,256,328,148,172,207,218,184,127,188,149,260,386,171,336,216,244,622,1314,1861,2131,1550,1504,1492,1386,1155,1859,1084,1541,1317,1538,1310,1218,1269,756,1406,919,876,1352,1153,1073,902,1183,1122,1076,1305,1437,1240,1153,1044,1490,1447,1292,958,1404
일  본,공용,127,119,126,126,91,136,149,165,211,438,187,166,141,64,16,2,3,4,30,11,10,4,4,8,14,2,12,2,5,5,12,10,12,11,8,7,17,5,13,8,19,25,41,49,64,60,72,36,80,72,87,135,204,132,169,125,196,144,579,144,133,119,158,132,158,235,173,187,268,189,679,156,158,135,207,168,159
일  본,유학연수,785,2084,1231,333,715,771,694,2957,1137,556,813,769,1035,1536,868,49,41,35,29,544,93,56,261,57,137,1020,195,73,567,117,134,1448,313,69,370,175,140,2088,424,124,751,734,351,2910,1143,248,562,820,978,2702,972,256,905,771,796,3186,1161,455,694,700,1196,2775,935,300,971,687,786,3202,1179,456,838,742,1244,2755,1255,375,1100
일  본,기타,4576,4175,4497,4948,4274,4382,4316,5350,4934,4166,3983,3890,5149,3430,703,198,219,317,545,571,558,687,713,597,804,518,539,550,577,525,554,515,596,721,586,477,566,534,604,942,949,1193,1529,1649,1436,1454,1313,1152,2217,1318,1885,1860,2316,1983,2371,2791,2024,2852,3444,2257,2758,2319,2445,2736,3137,2890,3011,3462,3491,3536,3678,3532,3541,3254,3494,3723,4241
인  도,관광,2318,2372,3051,4088,4483,4892,3509,3870,4111,4403,4149,3697,2391,2061,555,46,95,865,1256,414,600,510,438,647,769,678,708,592,437,459,898,1138,904,1005,850,805,977,885,972,848,1168,1782,2695,2895,3109,3852,3113,2526,1394,1217,2708,3761,4262,3841,3938,3498,4077,8571,3819,3058,2037,1886,4422,5441,5514,4917,3431,3874,5307,5739,4207,3655,2862,2651,5336,8687,7762
인  도,상용,2656,2303,3283,3039,2896,3084,2828,2850,3152,2692,3386,2183,2094,972,42,7,15,36,28,30,24,51,53,64,68,71,123,94,24,78,58,93,101,127,202,161,133,146,198,431,726,1057,1439,1357,1514,1642,2097,1156,1056,1188,1611,1679,1949,1705,1757,1773,1809,2291,2048,1344,1526,1460,2198,2318,2474,1982,1857,2124,2200,2101,2279,1442,1198,1946,2133,1989,2207
인  도,공용,46,102,52,53,99,194,51,114,146,85,115,88,56,19,5,4,0,11,3,4,0,3,5,4,3,2,0,0,7,3,4,10,5,9,8,13,21,6,2,13,31,25,37,18,50,35,52,29,36,18,17,26,62,69,72,44,57,76,42,24,49,33,47,51,75,81,32,72,61,78,61,21,63,35,36,48,39
인  도,유학연수,177,360,197,75,92,121,142,341,186,84,100,100,166,284,92,2,3,61,31,48,66,40,13,13,27,169,112,42,7,12,7,39,36,20,85,47,56,284,135,34,67,76,87,397,179,50,78,75,159,428,206,35,70,98,141,444,148,81,92,103,178,560,216,58,80,142,164,521,231,78,146,105,199,548,331,54,112
인  도,기타,3474,3172,4063,5678,6288,4958,3902,9826,5121,5896,4434,4140,4542,2503,893,151,302,826,2376,1564,1718,1744,1429,1555,1858,1400,2027,1629,1467,1520,1730,1845,1688,2031,1600,1433,1684,1928,1996,1788,2258,2220,2398,2492,2375,2389,2913,1833,1836,1813,3885,4221,4440,5790,5144,5324,4911,8351,5476,4678,6052,5508,9560,9830,10073,10571,8852,9143,9272,8595,6234,5447,6461,6406,8246,10418,12136
