국적,목적,2019년01월,,,2019년02월,,,2019년03월,,,2019년04월,,,2019년05월,,,2019년06월,,,2019년07월,,,2019년08월,,,2019년09월,,,2019년10월,,,2019년11월,,,2019년12월,,,2020년01월,,,2020년02월,,,2020년03월,,,2020년04월,,,2020년05월,,,2020년06월,,,2020년07월,,,2020년08월,,,2020년09월,,,2020년10월,,,2020년11월,,,2020년12월,,,2021년01월,,,2021년02월,,,2021년03월,,,2021년04월,,,2021년05월,,,2021년06월,,,2021년07월,,,2021년08월,,,2021년09월,,,2021년10월,,,2021년11월,,,2021년12월,,,2022년01월,,,2022년02월,,,2022년03월,,,2022년04월,,,2022년05월,,,2022년06월,,,2022년07월,,,2022년08월,,,2022년09월,,,2022년10월,,,2022년11월,,,2022년12월,,,2023년01월,,,2023년02월,,,2023년03월,,,2023년04월,,,2023년05월,,,2023년06월,,,2023년07월,,,2023년08월,,,2023년09월,,,2023년10월,,,2023년11월,,,2023년12월,,,2024년01월,,,2024년02월,,,2024년03월,,,2024년04월,,,2024년05월,,,2024년06월,,,2024년07월,,,2024년08월,,,2024년09월,,,2024년10월,,,2024년11월,,,2024년12월,,,2025년01월,,,2025년02월,,,2025년03월,,,2025년04월,,,2025년05월,,,계,
,,인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),성장률(%),구성비(%),인원(명),구성비(%)
일  본,관광,198805,24.90%,17.99%,204697,28.10%,17.03%,367157,27.70%,23.91%,283101,36.30%,17.31%,279174,26.70%,18.79%,275286,20.40%,18.65%,267816,19.40%,18.49%,318985,4.20%,20.11%,242475,0.80%,16.61%,241484,-14.80%,14.58%,251663,-14.40%,17.28%,248793,-1.50%,17.08%,194840,-2.00%,15.31%,205007,0.20%,29.92%,6478,-98.20%,7.76%,58,-100.00%,0.20%,45,-100.00%,0.15%,73,-100.00%,0.20%,44,-100.00%,0.07%,25,-100.00%,0.04%,29,-100.00%,0.04%,37,-100.00%,0.06%,32,-100.00%,0.05%,33,-100.00%,0.05%,16,-100.00%,0.03%,31,-100.00%,0.05%,31,-99.50%,0.04%,40,-31.00%,0.06%,36,-20.00%,0.05%,44,-39.70%,0.06%,54,22.70%,0.07%,97,288.00%,0.10%,72,148.30%,0.08%,176,375.70%,0.19%,273,753.10%,0.29%,177,436.40%,0.20%,103,543.80%,0.13%,91,193.50%,0.09%,112,261.30%,0.12%,535,1237.50%,0.42%,668,1755.60%,0.38%,2042,4540.90%,0.90%,7737,14227.80%,2.93%,20324,20852.60%,6.54%,23413,32418.10%,6.93%,63905,36209.70%,13.42%,59089,21544.30%,12.85%,81012,45669.50%,15.02%,61766,59867.00%,14.22%,89217,97940.70%,18.62%,187833,167608.00%,23.46%,124741,23216.10%,14.04%,178728,26655.70%,20.61%,192316,9318.00%,20.02%,206914,2574.30%,20.05%,256082,1160.00%,23.51%,245965,950.50%,22.40%,250235,291.60%,20.35%,272686,361.50%,24.46%,191892,136.90%,18.51%,137713,123.00%,15.63%,177633,99.10%,17.24%,334131,77.90%,22.40%,225182,80.50%,15.39%,272974,52.70%,19.24%,253497,31.80%,17.89%,237907,15.00%,16.89%,315309,23.10%,20.17%,304277,23.70%,20.78%,317845,27.00%,19.86%,334850,22.80%,24.60%,245072,27.70%,19.28%,168284,22.20%,15.06%,216891,22.10%,19.05%,377064,12.80%,23.35%,252679,12.20%,14.80%,284722,4.30%,17.47%,10560620,18.00%
일  본,상용,2233,-5.30%,0.20%,2125,8.10%,0.18%,2108,11.20%,0.14%,1584,-7.20%,0.10%,2019,-8.80%,0.14%,1901,8.50%,0.13%,1855,1.20%,0.13%,2195,5.70%,0.14%,2362,8.20%,0.16%,1897,1.10%,0.11%,1876,3.60%,0.13%,1738,2.40%,0.12%,2804,25.60%,0.22%,1162,-45.30%,0.17%,282,-86.60%,0.34%,53,-96.70%,0.18%,105,-94.80%,0.34%,69,-96.40%,0.19%,107,-94.20%,0.18%,124,-94.40%,0.18%,104,-95.60%,0.16%,143,-92.50%,0.23%,244,-87.00%,0.40%,256,-85.30%,0.41%,328,-88.30%,0.56%,148,-87.30%,0.23%,172,-39.00%,0.23%,207,290.60%,0.30%,218,107.60%,0.29%,184,166.70%,0.24%,127,18.70%,0.15%,188,51.60%,0.19%,149,43.30%,0.17%,260,81.80%,0.28%,386,58.20%,0.41%,171,-33.20%,0.19%,336,2.40%,0.41%,216,45.90%,0.22%,244,41.90%,0.25%,622,200.50%,0.49%,1314,502.80%,0.75%,1861,911.40%,0.82%,2131,1578.00%,0.81%,1550,724.50%,0.50%,1504,909.40%,0.45%,1492,473.80%,0.31%,1386,259.10%,0.30%,1155,575.40%,0.21%,1859,453.30%,0.43%,1084,401.90%,0.23%,1541,531.60%,0.19%,1317,111.70%,0.15%,1538,17.00%,0.18%,1310,-29.60%,0.14%,1218,-42.80%,0.12%,1269,-18.10%,0.12%,756,-49.70%,0.07%,1406,-5.80%,0.11%,919,-33.70%,0.08%,876,-24.20%,0.08%,1352,-27.30%,0.15%,1153,6.40%,0.11%,1073,-30.40%,0.07%,902,-31.50%,0.06%,1183,-23.10%,0.08%,1122,-14.40%,0.08%,1076,-11.70%,0.08%,1305,2.80%,0.08%,1437,90.10%,0.10%,1240,-11.80%,0.08%,1153,25.50%,0.08%,1044,19.20%,0.08%,1490,10.20%,0.13%,1447,25.50%,0.13%,1292,20.40%,0.08%,958,6.20%,0.06%,1404,18.70%,0.09%,81419,0.10%
일  본,공용,127,-8.00%,0.01%,119,-17.40%,0.01%,126,-41.10%,0.01%,126,7.70%,0.01%,91,-20.90%,0.01%,136,17.20%,0.01%,149,-26.60%,0.01%,165,21.30%,0.01%,211,1.40%,0.01%,438,-21.40%,0.03%,187,17.60%,0.01%,166,3.10%,0.01%,141,11.00%,0.01%,64,-46.20%,0.01%,16,-87.30%,0.02%,2,-98.40%,0.01%,3,-96.70%,0.01%,4,-97.10%,0.01%,30,-79.90%,0.05%,11,-93.30%,0.02%,10,-95.30%,0.02%,4,-99.10%,0.01%,4,-97.90%,0.01%,8,-95.20%,0.01%,14,-90.10%,0.02%,2,-96.90%,0.00%,12,-25.00%,0.02%,2,0.00%,0.00%,5,66.70%,0.01%,5,25.00%,0.01%,12,-60.00%,0.01%,10,-9.10%,0.01%,12,20.00%,0.01%,11,175.00%,0.01%,8,100.00%,0.01%,7,-12.50%,0.01%,17,21.40%,0.02%,5,150.00%,0.01%,13,8.30%,0.01%,8,300.00%,0.01%,19,280.00%,0.01%,25,400.00%,0.01%,41,241.70%,0.02%,49,390.00%,0.02%,64,433.30%,0.02%,60,445.50%,0.01%,72,800.00%,0.02%,36,414.30%,0.01%,80,370.60%,0.02%,72,1340.00%,0.02%,87,569.20%,0.01%,135,1587.50%,0.02%,204,973.70%,0.02%,132,428.00%,0.01%,169,312.20%,0.02%,125,155.10%,0.01%,196,206.30%,0.02%,144,140.00%,0.01%,579,704.20%,0.05%,144,300.00%,0.01%,133,66.30%,0.02%,119,65.30%,0.01%,158,81.60%,0.01%,132,-2.20%,0.01%,158,-22.50%,0.01%,235,78.00%,0.02%,173,2.40%,0.01%,187,49.60%,0.01%,268,36.70%,0.02%,189,31.30%,0.01%,679,17.30%,0.05%,156,8.30%,0.01%,158,18.80%,0.01%,135,13.40%,0.01%,207,31.00%,0.01%,168,27.30%,0.01%,159,0.60%,0.01%,8328,0.00%
일  본,유학연수,785,-6.80%,0.07%,2084,9.80%,0.17%,1231,38.30%,0.08%,333,11.00%,0.02%,715,25.90%,0.05%,771,8.70%,0.05%,694,22.40%,0.05%,2957,33.20%,0.19%,1137,8.40%,0.08%,556,37.60%,0.03%,813,58.20%,0.06%,769,26.50%,0.05%,1035,31.80%,0.08%,1536,-26.30%,0.22%,868,-29.50%,1.04%,49,-85.30%,0.17%,41,-94.30%,0.13%,35,-95.50%,0.09%,29,-95.80%,0.05%,544,-81.60%,0.79%,93,-91.80%,0.14%,56,-89.90%,0.09%,261,-67.90%,0.42%,57,-92.60%,0.09%,137,-86.80%,0.23%,1020,-33.60%,1.56%,195,-77.50%,0.26%,73,49.00%,0.10%,567,1282.90%,0.76%,117,234.30%,0.15%,134,362.10%,0.16%,1448,166.20%,1.49%,313,236.60%,0.35%,69,23.20%,0.07%,370,41.80%,0.39%,175,207.00%,0.19%,140,2.20%,0.17%,2088,104.70%,2.09%,424,117.40%,0.44%,124,69.90%,0.10%,751,32.50%,0.43%,734,527.40%,0.32%,351,161.90%,0.13%,2910,101.00%,0.94%,1143,265.20%,0.34%,248,259.40%,0.05%,562,51.90%,0.12%,820,368.60%,0.15%,978,598.60%,0.23%,2702,29.40%,0.56%,972,129.20%,0.12%,256,106.50%,0.03%,905,20.50%,0.10%,771,5.00%,0.08%,796,126.80%,0.08%,3186,9.50%,0.29%,1161,1.60%,0.11%,455,83.50%,0.04%,694,23.50%,0.06%,700,-14.60%,0.07%,1196,22.30%,0.14%,2775,2.70%,0.27%,935,-3.80%,0.06%,300,17.20%,0.02%,971,7.30%,0.07%,687,-10.90%,0.05%,786,-1.30%,0.06%,3202,0.50%,0.20%,1179,1.60%,0.08%,456,0.20%,0.03%,838,20.70%,0.06%,742,6.00%,0.06%,1244,4.00%,0.11%,2755,-0.70%,0.24%,1255,34.20%,0.08%,375,25.00%,0.02%,1100,13.30%,0.07%,66734,0.10%
일  본,기타,4576,0.10%,0.41%,4175,-5.20%,0.35%,4497,15.40%,0.29%,4948,23.60%,0.30%,4274,8.00%,0.29%,4382,8.20%,0.30%,4316,18.70%,0.30%,5350,19.30%,0.34%,4934,24.90%,0.34%,4166,0.70%,0.25%,3983,12.80%,0.27%,3890,8.30%,0.27%,5149,12.50%,0.40%,3430,-17.80%,0.50%,703,-84.40%,0.84%,198,-96.00%,0.67%,219,-94.90%,0.71%,317,-92.80%,0.86%,545,-87.40%,0.89%,571,-89.30%,0.83%,558,-88.70%,0.86%,687,-83.50%,1.12%,713,-82.10%,1.15%,597,-84.70%,0.96%,804,-84.40%,1.38%,518,-84.90%,0.79%,539,-23.30%,0.72%,550,177.80%,0.78%,577,163.50%,0.77%,525,65.60%,0.68%,554,1.70%,0.67%,515,-9.80%,0.53%,596,6.80%,0.66%,721,4.90%,0.78%,586,-17.80%,0.62%,477,-20.10%,0.53%,566,-29.60%,0.69%,534,3.10%,0.53%,604,12.10%,0.62%,942,71.30%,0.74%,949,64.50%,0.54%,1193,127.20%,0.52%,1529,176.00%,0.58%,1649,220.20%,0.53%,1436,140.90%,0.43%,1454,101.70%,0.31%,1313,124.10%,0.29%,1152,141.50%,0.21%,2217,291.70%,0.51%,1318,146.80%,0.28%,1885,212.10%,0.24%,1860,97.50%,0.21%,2316,144.00%,0.27%,1983,66.20%,0.21%,2371,55.10%,0.23%,2791,69.30%,0.26%,2024,40.90%,0.18%,2852,96.10%,0.23%,3444,162.30%,0.31%,2257,95.90%,0.22%,2758,24.40%,0.31%,2319,75.90%,0.23%,2445,29.70%,0.16%,2736,47.10%,0.19%,3137,35.40%,0.22%,2890,45.70%,0.20%,3011,27.00%,0.21%,3462,24.00%,0.22%,3491,72.50%,0.24%,3536,24.00%,0.22%,3678,6.80%,0.27%,3532,56.50%,0.28%,3541,28.40%,0.32%,3254,40.30%,0.29%,3494,42.90%,0.22%,3723,36.10%,0.22%,4241,35.20%,0.26%,170027,0.30%
일  본,소 계,206526,23.60%,18.69%,213200,26.70%,17.74%,375119,27.40%,24.43%,290092,35.70%,17.74%,286273,26.00%,19.27%,282476,20.10%,19.14%,274830,19.20%,18.98%,329652,4.60%,20.78%,251119,1.30%,17.20%,248541,-14.40%,15.01%,258522,-13.80%,17.75%,255356,-1.20%,17.53%,203969,-1.20%,16.03%,211199,-0.90%,30.82%,8347,-97.80%,10.00%,360,-99.90%,1.22%,413,-99.90%,1.34%,498,-99.80%,1.35%,755,-99.70%,1.24%,1275,-99.60%,1.85%,794,-99.70%,1.22%,927,-99.60%,1.51%,1254,-99.50%,2.03%,951,-99.60%,1.53%,1299,-99.40%,2.22%,1719,-99.20%,2.62%,949,-88.60%,1.27%,872,142.20%,1.24%,1403,239.70%,1.88%,875,75.70%,1.14%,881,16.70%,1.06%,2258,77.10%,2.33%,1142,43.80%,1.27%,1237,33.40%,1.34%,1623,29.40%,1.72%,1007,5.90%,1.12%,1162,-10.50%,1.42%,2934,70.70%,2.93%,1397,47.20%,1.44%,2231,155.80%,1.74%,3701,163.80%,2.10%,5855,569.10%,2.57%,11789,1238.10%,4.47%,26482,1072.80%,8.52%,27560,2313.30%,8.16%,67159,5329.20%,14.11%,62422,3746.10%,13.57%,84175,8259.00%,15.61%,66900,5657.30%,15.40%,94393,3117.20%,19.70%,192318,13666.50%,24.02%,128309,5651.20%,14.44%,183691,4863.30%,21.18%,196512,3256.30%,20.46%,211468,1693.80%,20.49%,263453,894.80%,24.19%,250102,807.50%,22.78%,255092,279.80%,20.74%,278322,345.90%,24.96%,195869,132.70%,18.89%,143152,114.00%,16.25%,183999,94.90%,17.86%,338742,76.10%,22.71%,229252,78.70%,15.67%,278423,51.60%,19.63%,258431,31.50%,18.23%,242953,14.90%,17.25%,323465,22.80%,20.69%,310652,24.20%,21.22%,323266,26.70%,20.20%,341198,22.60%,25.07%,250546,27.90%,19.71%,174717,22.00%,15.64%,224482,22.00%,19.72%,383312,13.20%,23.74%,257903,12.50%,15.11%,291626,4.70%,17.90%,10887128,18.50%
인  도,관광,2318,7.80%,0.21%,2372,20.50%,0.20%,3051,13.30%,0.20%,4088,24.60%,0.25%,4483,25.90%,0.30%,4892,39.70%,0.33%,3509,8.60%,0.24%,3870,25.20%,0.24%,4111,11.70%,0.28%,4403,6.20%,0.27%,4149,14.70%,0.28%,3697,19.60%,0.25%,2391,3.10%,0.19%,2061,-13.10%,0.30%,555,-81.80%,0.66%,46,-98.90%,0.16%,95,-97.90%,0.31%,865,-82.30%,2.34%,1256,-64.20%,2.06%,414,-89.30%,0.60%,600,-85.40%,0.92%,510,-88.40%,0.83%,438,-89.40%,0.71%,647,-82.50%,1.04%,769,-67.80%,1.32%,678,-67.10%,1.03%,708,27.60%,0.95%,592,1187.00%,0.84%,437,360.00%,0.59%,459,-46.90%,0.60%,898,-28.50%,1.08%,1138,174.90%,1.17%,904,50.70%,1.01%,1005,97.10%,1.09%,850,94.10%,0.90%,805,24.40%,0.89%,977,27.00%,1.19%,885,30.50%,0.89%,972,37.30%,1.00%,848,43.20%,0.66%,1168,167.30%,0.66%,1782,288.20%,0.78%,2695,200.10%,1.02%,2895,154.40%,0.93%,3109,243.90%,0.92%,3852,283.30%,0.81%,3113,266.20%,0.68%,2526,213.80%,0.47%,1394,42.70%,0.32%,1217,37.50%,0.25%,2708,178.60%,0.34%,3761,343.50%,0.42%,4262,264.90%,0.49%,3841,115.50%,0.40%,3938,46.10%,0.38%,3498,20.80%,0.32%,4077,31.10%,0.37%,8571,122.50%,0.70%,3819,22.70%,0.34%,3058,21.10%,0.29%,2037,46.10%,0.23%,1886,55.00%,0.18%,4422,63.30%,0.30%,5441,44.70%,0.37%,5514,29.40%,0.39%,4917,28.00%,0.35%,3431,-12.90%,0.24%,3874,10.70%,0.25%,5307,30.20%,0.36%,5739,-33.00%,0.36%,4207,10.20%,0.31%,3655,19.50%,0.29%,2862,40.50%,0.26%,2651,40.60%,0.23%,5336,20.70%,0.33%,8687,59.70%,0.51%,7762,40.80%,0.48%,210758,0.40%
인  도,상용,2656,11.90%,0.24%,2303,16.70%,0.19%,3283,17.00%,0.21%,3039,1.20%,0.19%,2896,-4.40%,0.19%,3084,19.70%,0.21%,2828,0.90%,0.20%,2850,4.70%,0.18%,3152,6.20%,0.22%,2692,-22.90%,0.16%,3386,15.60%,0.23%,2183,-1.40%,0.15%,2094,-21.20%,0.16%,972,-57.80%,0.14%,42,-98.70%,0.05%,7,-99.80%,0.02%,15,-99.50%,0.05%,36,-98.80%,0.10%,28,-99.00%,0.05%,30,-98.90%,0.04%,24,-99.20%,0.04%,51,-98.10%,0.08%,53,-98.40%,0.09%,64,-97.10%,0.10%,68,-96.80%,0.12%,71,-92.70%,0.11%,123,192.90%,0.16%,94,1242.90%,0.13%,24,60.00%,0.03%,78,116.70%,0.10%,58,107.10%,0.07%,93,210.00%,0.10%,101,320.80%,0.11%,127,149.00%,0.14%,202,281.10%,0.21%,161,151.60%,0.18%,133,95.60%,0.16%,146,105.60%,0.15%,198,61.00%,0.20%,431,358.50%,0.34%,726,2925.00%,0.41%,1057,1255.10%,0.46%,1439,2381.00%,0.55%,1357,1359.10%,0.44%,1514,1399.00%,0.45%,1642,1192.90%,0.34%,2097,938.10%,0.46%,1156,618.00%,0.21%,1056,694.00%,0.24%,1188,713.70%,0.25%,1611,713.60%,0.20%,1679,289.60%,0.19%,1949,168.50%,0.22%,1705,61.30%,0.18%,1757,22.10%,0.17%,1773,30.70%,0.16%,1809,19.50%,0.16%,2291,39.50%,0.19%,2048,-2.30%,0.18%,1344,16.30%,0.13%,1526,44.50%,0.17%,1460,22.90%,0.14%,2198,36.40%,0.15%,2318,38.10%,0.16%,2474,26.90%,0.17%,1982,16.20%,0.14%,1857,5.70%,0.13%,2124,19.80%,0.14%,2200,21.60%,0.15%,2101,-8.30%,0.13%,2279,11.30%,0.17%,1442,7.30%,0.11%,1198,-21.50%,0.11%,1946,33.30%,0.17%,2133,-3.00%,0.13%,1989,-14.20%,0.12%,2207,-10.80%,0.14%,104508,0.20%
인  도,공용,46,35.30%,0.00%,102,292.30%,0.01%,52,-5.50%,0.00%,53,-36.90%,0.00%,99,41.40%,0.01%,194,84.80%,0.01%,51,-7.30%,0.00%,114,-27.80%,0.01%,146,114.70%,0.01%,85,9.00%,0.01%,115,125.50%,0.01%,88,238.50%,0.01%,56,21.70%,0.00%,19,-81.40%,0.00%,5,-90.40%,0.01%,4,-92.50%,0.01%,0,-100.00%,0.00%,11,-94.30%,0.03%,3,-94.10%,0.00%,4,-96.50%,0.01%,0,-100.00%,0.00%,3,-96.50%,0.00%,5,-95.70%,0.01%,4,-95.50%,0.01%,3,-94.60%,0.01%,2,-89.50%,0.00%,0,-100.00%,0.00%,0,-100.00%,0.00%,7,,0.01%,3,-72.70%,0.00%,4,33.30%,0.00%,10,150.00%,0.01%,5,,0.01%,9,200.00%,0.01%,8,60.00%,0.01%,13,225.00%,0.01%,21,600.00%,0.03%,6,200.00%,0.01%,2,,0.00%,13,,0.01%,31,342.90%,0.02%,25,733.30%,0.01%,37,825.00%,0.01%,18,80.00%,0.01%,50,900.00%,0.01%,35,288.90%,0.01%,52,550.00%,0.01%,29,123.10%,0.01%,36,71.40%,0.01%,18,200.00%,0.00%,17,750.00%,0.00%,26,100.00%,0.00%,62,100.00%,0.01%,69,176.00%,0.01%,72,94.60%,0.01%,44,144.40%,0.00%,57,14.00%,0.01%,76,117.10%,0.01%,42,-19.20%,0.00%,24,-17.20%,0.00%,49,36.10%,0.01%,33,83.30%,0.00%,47,176.50%,0.00%,51,96.20%,0.00%,75,21.00%,0.01%,81,17.40%,0.01%,32,-55.60%,0.00%,72,63.60%,0.00%,61,7.00%,0.00%,78,2.60%,0.00%,61,45.20%,0.00%,21,-12.50%,0.00%,63,28.60%,0.01%,35,6.10%,0.00%,36,-23.40%,0.00%,48,-5.90%,0.00%,39,-48.00%,0.00%,3067,0.00%
